ingredient,qty,unit,portions_per_batch,notes
sliced peaches drained/thawed,10,lb,~60 portions,filling — frozen thawed or canned drained
granulated sugar,14,oz,~60 portions,filling
brown sugar,8,oz,~60 portions,filling
cornstarch,4.5,oz,~60 portions,filling — must reach simmer to thicken
lemon juice,0.75,cup,~60 portions,filling — 6 fl oz
vanilla extract,0.25,cup,~60 portions,filling — 2 fl oz
ground cinnamon,1.5,tbsp,~60 portions,filling
ground nutmeg,1,tsp,~60 portions,filling
kosher salt,2,tsp,~60 portions,filling
butter diced or melted,6,oz,~60 portions,filling
prepared granola,2.5,lb,~60 portions,topping — cheater granola crunch
yellow cake mix,12,oz,~60 portions,topping — or AP flour for less sweet crunch
brown sugar,6,oz,~60 portions,topping
butter melted,16,oz,~60 portions,topping — 1 lb
ground cinnamon,1,tbsp,~60 portions,topping
kosher salt,1,tsp,~60 portions,topping
