ingredient,qty,unit,portions_per_batch,notes
roma tomatoes,6,lb,4 qt,USDA MyPlate canonical — ripe; cored; rough chop. 24 medium ≈ 6 lb. SOURCE: usda_myplate
cucumber,2,lb,4 qt,peeled; seeded; rough chop. SOURCE: usda_myplate
red bell pepper,1.5,lb,4 qt,cored; seeded; rough chop. SOURCE: usda_myplate
yellow onion,1,lb,4 qt,small; rough chop. SOURCE: usda_myplate
garlic,6,clove,4 qt,peeled. SOURCE: usda_myplate
day-old bread,4,oz,4 qt,Spanish-style; soaked + squeezed; binds the puree (omit for gluten-free). SOURCE: usda_myplate
red wine vinegar,0.5,cup,4 qt,sherry vinegar acceptable substitute. SOURCE: usda_myplate
extra-virgin olive oil,0.5,cup,4 qt,SOURCE: usda_myplate
ground cumin,1,tbsp,4 qt,SOURCE: usda_myplate (Farmers Market variant)
fresh cilantro,0.5,cup,4 qt,chopped. SOURCE: usda_myplate (Farmers Market variant)
lemon juice,0.25,cup,4 qt,fresh; ≈ 2 lemons. SOURCE: usda_myplate (Farmers Market variant)
kosher salt,2,tsp,4 qt,to taste. SOURCE: usda_myplate
black pepper,1,tsp,4 qt,freshly ground; to taste. SOURCE: usda_myplate
water,1.5,cup,4 qt,adjust for desired consistency. SOURCE: usda_myplate
