recipe_id,recipe_name,category,yield,yield_unit,ingredient_count,sub_recipes,station,menu_items,notes,pack_size
lariat_rub,Lariat Rub,seasoning,6,cup,8,,all,multiple,House signature rub — used in Nashville Hot Rub + Pig Wings + Green Chilli + Bacon Jam,
buttermilk_brine,Buttermilk Brine,prep,12,qt,6,,fry,Nashville Hot Chicken,12 qt of brined chicken — 12-24hr soak,
queso_mac_sauce,Queso / Mac Sauce,sauce,22,qt,7,lariat_rub;blackened_tomato_salsa,expo;saute,The Trio;Mtn Mac & Cheese;El Jefe add-on,Ice wand to cool — held hot in cambro. Uses vendor green chile (Sysco/Shamrock leaf) — NEVER house green_chilli sub-recipe,
blackened_tomato_salsa,Blackened Tomato Salsa,sauce,22,qt,6,,grill,The Trio;Queso ingredient,PDF p8 — blacken tomatoes on char grill; halved onions + jalapenos in salamander; bur mix,
chicken_flour,Chicken Flour,prep,22,qt,6,,fry,Nashville Hot Chicken;Chicken Wings,Dry dredge before beer batter,
nashville_hot_rub,Nashville Hot Rub,seasoning,2,cup,3,lariat_rub,fry,Nashville Hot Chicken,Applied after frying,
nashville_oil,Nashville Oil,sauce,2,qt,4,lariat_rub,fry,Nashville Hot Chicken,REMOVE FROM HEAT before adding pickle juice,
aji_verde,Aji Verde,sauce,3.2,qt,7,,saute;fry,Pork Chop;Baja Fish Tacos,PDF p25 — blend in two stages; half cilantro each time,
bacon_jam,Bacon Jam,sauce,10,qt,5,lariat_rub,grill,The Rope Burger,Render bacon crisp — reduce OJ to jammy,
special_sauce,Special Sauce,sauce,4,qt,8,,fry,Nashville Hot Chicken Sandwich,Whisk together,
fish_brine,Fish Brine,prep,4,qt,3,,fry,Fish & Chips;Baja Fish Tacos,7 minute marinade only,
cornbread,Jalapeño Cheddar Cornbread,prep,2,pan,5,,grill,Jalapeño Cheddar Cornbread;cornbread croutons,Bake 500F 1hr 30min — brown butter,
green_chilli,Green Chilli,entree,8,qt,10,,expo,Green Chilli (cup/bowl),PDF p16 — house pork-butt stew (NOT vendor green chile). Braise 40-60 min until pork softens; add roux (bacon grease + flour) to finish,
roasted_pepitas,Roasted Pepitas,prep,6,qt,6,,salad,The Rope Salad,Roast 500F 30min on lined sheet pan,
santa_fe_caesar,Santa Fe Caesar Dressing,dressing,2,qt,8,,salad,The Rope Salad,Chipotle caesar — blend while incorporating EVOO,
tartar_sauce,Tartar Sauce,sauce,4,qt,11,,fry,Fish & Chips,Whisk — b&b pickles minced,
