name,category,make_model,serial_number,manufacture_date,warranty_expiration,purchase_cost,status,location_zone,location_id,photo_refs,notes
Atosa Cube Ice Maker,ice_maker,Atosa YR450-AP-161,YR450-AP-1610100200800000282,2020-09,,,active,kitchen,default,"IMG_4880,IMG_4886","115V 60Hz 965W; R290 5.29oz; 30W×24D×22H in; 158 lb; 9.6A; ETL 4003735; Sanitation 4003739; warranty 1-800-683-8660"
Atosa Ice Machine Head,ice_maker,Atosa,,,,,active,kitchen,default,IMG_4884,"Brand decal only; model + serial follow-up needed (re-photograph data plate)"
VacMaster Chamber Vacuum Sealer,small_appliance,VacMaster VP210,,,,,active,kitchen,default,IMG_4888,"Digital display + analog vacuum gauge; spec sheet: vacmasterfresh.com/vacuum-sealers/chamber-machines/vp210"
Hamilton Beach Commercial Microwave,small_appliance,Hamilton Beach,,,,,active,kitchen,default,IMG_4892,"Commercial countertop; model not visible — likely HMC520 family; cross-ref commercial.hamiltonbeach.com"
Carnival King Double Belgian Waffle Maker,small_appliance,Carnival King WBM26DGT,,,,,active,kitchen,default,IMG_4896,"Digital double waffle baker; spec: webstaurantstore.com/carnival-king-wbm26dgt"
Hatco Glo-Ray Foodwarmer (left),heat_lamp,Hatco Glo-Ray,,,,,active,kitchen,default,"IMG_4890,IMG_4895","Worn bezel; mounted under shelf gantry; specific model GR/GRAH/GRAHL — needs nameplate capture"
Hatco Glo-Ray Foodwarmer (right),heat_lamp,Hatco Glo-Ray,,,,,active,kitchen,default,"IMG_4891","Perforated bullet style; over fryer + hand-sink end of cookline"
Galaxy Equipment Countertop Cooker/Warmer (#1),steam_table,Galaxy Equipment,,,,,active,kitchen,default,"IMG_4899,IMG_4907","Variable temp dial (off/1-2-3); check water level; do not run dry"
Robot Coupe Food Processor,small_appliance,Robot Coupe R2,,,,,active,kitchen,default,IMG_4902,"3 Qt; service 1-800-824-1646; robocoup@mienet.com"
KitchenAid Commercial Stand Mixer,small_appliance,KitchenAid Commercial,,,,,active,kitchen,default,IMG_4903,"Empire Red bowl-lift; likely KSM8990 / KSMC895 — nameplate not captured"
Vitamix Commercial Blender,small_appliance,Vitamix,,,,,active,kitchen,default,IMG_4906,"Likely The Quiet One / Drink Machine Advance class; model not captured"
My Weigh KD-8000 Digital Scale,small_appliance,My Weigh KD-8000,,,,,active,kitchen,default,IMG_4900,"8000g cap; MODE/HOLD/%/TARE"
San Jamar Escali Digital Portion Scale,small_appliance,San Jamar Escali,,,,,active,kitchen,default,IMG_4900,"Kg/Lb/Oz/Lb·Oz; backlight; likely SCDGP series"
Auto-Chlor Undercounter Dish Machine,dishwasher,Auto-Chlor System (American Dish Service) AF/AC/AH-3D series,,,,,active,kitchen,default,IMG_4898,"Leased — Auto-Chlor System service 719-299-0347; chlorine rinse 50 ppm; 120°F min; 2.2 gal/cycle; placard 12/01"
Auto-Chlor Chemical Metering Dispensers,chemical_dispenser,Auto-Chlor System,,,,,active,kitchen,default,IMG_4894,"Orange + blue cap dispensers; tubing to wash sink"
State UltraForce Water Heater,water_heater,State UltraForce,,,,,active,kitchen,default,IMG_4887,"Tech support 1-800-365-0024; help@hotwater.com; full nameplate not captured — re-photograph"
Accurex Kitchen Fan Control Center (CP-1),hood_control,Accurex XFCC,14901292,,,,active,kitchen,default,"IMG_4908,IMG_4909,IMG_4910,IMG_4911,IMG_4912","Catalog 470376; 120V 1-ph 60Hz 15A; mark CP-1; project: Lariat; drawing 7509767-60-PW; service 1-800-333-1400"
Zone Defense Wet Chemical Fire Suppression System,fire_suppression,Zone Defense Model 375,,,,,active,kitchen,default,"IMG_4913,IMG_4914","2× 3.75-gallon cylinders strap-mounted; UL-300 / NFPA-96 annual service required"
Square D Main Electrical Panel,electrical_panel,Square D QOC32UF,,,,,active,kitchen,default,"IMG_4915,IMG_4916","32-space; 125A main; circuits labeled MUA/freezer/Exhaust Fan/Hood Control Box/Dish Washer/Heat Lamps/Flat Top S.E. Kit/etc."
Vulcan 6-Burner Range w/ Charbroiler,range,Vulcan,,,,,needs_service,kitchen,default,"IMG_4917,IMG_4919,IMG_4922,IMG_4923,IMG_4925,IMG_4926,IMG_4949,IMG_4950","Model not captured; 6 open burners + right-side charbroiler module + 2 oven doors; heavy carbon on charbroiler radiants + rusted manifold — needs deep clean"
Vulcan Single-Tank Gas Fryer (left vat),fryer,Vulcan,,,,,active,kitchen,default,"IMG_4936,IMG_4937","Red Vulcan badge; left of the Atosa floor fryer on the cookline; model not captured — re-photograph nameplate"
Atosa Gas Floor Fryer,fryer,Atosa,,,,,active,kitchen,default,"IMG_4936,IMG_4937","Atosa oval badge; sits between the Vulcan single-tank fryer and the sandwich prep table; model + serial not captured — re-photograph nameplate. ITW service decal in 1-888-4HOBART / 1-866-688-5226 originally tagged here belongs to the adjacent Vesta LG400-1, not this Atosa unit"
Vesta Gas Floor Fryer,fryer,Vesta LG400-1,DV1160003,,,,needs_service,kitchen,default,"IMG_4938,IMG_4939,IMG_4940,IMG_4941,IMG_4942","120000 BTU/hr Natural gas; 4.0 in W.C. manifold; ANS Z83.11/CSA 1.8-2016; ETL/NSF; built by Vesta (an ITW Company), Guangdong China; ITW service line 1-888-4HOBART / 1-866-688-5226; middle vat empty in IMG_4940 — may be out-of-service"
Beverage-Air Worktop Refrigerator,refrigerator,Beverage-Air,,,,,active,kitchen,default,"IMG_4927,IMG_4928","Low-profile chef base under cookline; model/serial not captured — likely UCR or WTR series"
Beverage-Air Reach-In (bar?),refrigerator,Beverage-Air,,,,,active,bar,default,IMG_4927,"Visible at toe-kick angle only; location bar/kitchen ambiguous"
Avantco Under-Counter Cooler,refrigerator,Avantco Refrigeration,,,,,active,kitchen,default,IMG_4943,"Low-profile under-counter; model/serial not captured — likely SS-UC or 178A chef base"
Dukers Reach-In Refrigerator,refrigerator,Dukers Appliance D28 series,,,,,active,kitchen,default,"IMG_4944,IMG_4945,IMG_4946","Likely Dukers D28R or D28F; service 1-800-931-8628; condenser cleaning NOT under warranty"
True/Sandwich-Pizza Prep Table,refrigerator,True (unconfirmed),,,,,active,kitchen,default,"IMG_4947,IMG_4948","2-door under-counter sandwich/pizza prep with raised rail; Gold Medal service vendor sticker; brand to confirm"
Walk-In Cooler,walk_in_cooler,,,,,,active,back_of_house,default,IMG_4904,"Walk-in door at back of dish pit; alarm/light keypad next to door; model/serial unknown"
Vulcan Cookline Hood (with baffle filters),hood_equipment,,,,,,needs_service,kitchen,default,"IMG_4905,IMG_4920,IMG_4921,IMG_4924","Stainless plenum + centrifugal exhaust fan + baffle filters; grease accumulation in plenum"
Commercial Immersion Blender,small_appliance,unknown (Waring or Robot Coupe),,,,,active,kitchen,default,IMG_4901,"Brand/model not legible; commercial stick blender motor head with safety button"
