bom_line_id,ingredient,qty,unit,candidate_rank,candidate_name,vendor,pack_unit,unit_price,proposed_yield_pct,proposed_labor_cost_per_min,confidence,notes
4641,pepper,0.25,cup,1,"SPICE, PEPPER BLK CRACKED BULK",shamrock,lb,15.392,,,medium,"[matched] bulk-form match on ""pepper"" (coarse/bulk precursor to finer grind) | yield_pct: typical 85-92% for beef grind, 70-80% for pork/chicken — fill from BOH measurement | labor_cost_per_min: labor rate × minutes / batch_lb — fill from scheduling | apply: raw cost = unit_price × (1/yield_pct); final cost = raw cost + (labor_cost_per_min × minutes_per_lb)"
4641,pepper,0.25,cup,2,"SPICE, PEPPER BLK CRSE GRND BULK",shamrock,lb,16.02,,,medium,"[matched] bulk-form match on ""pepper"" (coarse/bulk precursor to finer grind) | yield_pct: typical 85-92% for beef grind, 70-80% for pork/chicken — fill from BOH measurement | labor_cost_per_min: labor rate × minutes / batch_lb — fill from scheduling | apply: raw cost = unit_price × (1/yield_pct); final cost = raw cost + (labor_cost_per_min × minutes_per_lb)"
4641,pepper,0.25,cup,3,"PEPPER, JALP WHL REFRIG FRSH",shamrock,lb,1.608,,,medium,"[matched] raw-cut match on ""pepper"" (whole/raw form); variety-discriminator penalty on [jalp] (likely a DIFFERENT variety, not a raw-cut of the same ingredient) | yield_pct: typical 85-92% for beef grind, 70-80% for pork/chicken — fill from BOH measurement | labor_cost_per_min: labor rate × minutes / batch_lb — fill from scheduling | apply: raw cost = unit_price × (1/yield_pct); final cost = raw cost + (labor_cost_per_min × minutes_per_lb)"
4641,pepper,0.25,cup,4,Pepper Jalapeno Fresh,sysco,lb,3.195,,,medium,"[matched] raw-cut match on ""pepper"" (whole/raw form); variety-discriminator penalty on [jalapeno] (likely a DIFFERENT variety, not a raw-cut of the same ingredient) | yield_pct: typical 85-92% for beef grind, 70-80% for pork/chicken — fill from BOH measurement | labor_cost_per_min: labor rate × minutes / batch_lb — fill from scheduling | apply: raw cost = unit_price × (1/yield_pct); final cost = raw cost + (labor_cost_per_min × minutes_per_lb)"
4641,pepper,0.25,cup,5,"PEPPER, CHIPOTLE WHL IN ADOBO SCE",shamrock,cs,22.42,,,medium,"[matched] raw-cut match on ""pepper"" (whole/raw form); variety-discriminator penalty on [chipotle, adobo] (likely a DIFFERENT variety, not a raw-cut of the same ingredient) | yield_pct: typical 85-92% for beef grind, 70-80% for pork/chicken — fill from BOH measurement | labor_cost_per_min: labor rate × minutes / batch_lb — fill from scheduling | apply: raw cost = unit_price × (1/yield_pct); final cost = raw cost + (labor_cost_per_min × minutes_per_lb)"
4641,pepper,0.25,cup,6,"PEPPER, RED WHL FIRE RSTD IMP",shamrock,cs,37.81,,,medium,"[matched] raw-cut match on ""pepper"" (whole/raw form); variety-discriminator penalty on [red, rstd] (likely a DIFFERENT variety, not a raw-cut of the same ingredient) | yield_pct: typical 85-92% for beef grind, 70-80% for pork/chicken — fill from BOH measurement | labor_cost_per_min: labor rate × minutes / batch_lb — fill from scheduling | apply: raw cost = unit_price × (1/yield_pct); final cost = raw cost + (labor_cost_per_min × minutes_per_lb)"
4641,pepper,0.25,cup,7,"SPICE, PEPPER BLK SHAKER GRIND PCH",shamrock,lb,15.99,,,low,"[matched] finished-form match on ""pepper"" (no raw/whole variant in catalog; operator must decide whether to accept pre-processed cost or switch vendor) | yield_pct: typical 85-92% for beef grind, 70-80% for pork/chicken — fill from BOH measurement | labor_cost_per_min: labor rate × minutes / batch_lb — fill from scheduling | apply: raw cost = unit_price × (1/yield_pct); final cost = raw cost + (labor_cost_per_min × minutes_per_lb)"
4641,pepper,0.25,cup,8,"PEPPER, CHILE HATCH 1/2"" GRN MILD DICED",shamrock,lb,1.436,,,low,"[matched] finished-form match on ""pepper"" (no raw/whole variant in catalog; operator must decide whether to accept pre-processed cost or switch vendor); variety-discriminator flag on [chile, hatch, diced] (likely a DIFFERENT variety; already at low confidence) | yield_pct: typical 85-92% for beef grind, 70-80% for pork/chicken — fill from BOH measurement | labor_cost_per_min: labor rate × minutes / batch_lb — fill from scheduling | apply: raw cost = unit_price × (1/yield_pct); final cost = raw cost + (labor_cost_per_min × minutes_per_lb)"
4641,pepper,0.25,cup,9,"PEPPER, JALP GRN HOT CUT 3/8""",shamrock,lb,1.6132,,,low,"[matched] finished-form match on ""pepper"" (no raw/whole variant in catalog; operator must decide whether to accept pre-processed cost or switch vendor); variety-discriminator flag on [jalp] (likely a DIFFERENT variety; already at low confidence) | yield_pct: typical 85-92% for beef grind, 70-80% for pork/chicken — fill from BOH measurement | labor_cost_per_min: labor rate × minutes / batch_lb — fill from scheduling | apply: raw cost = unit_price × (1/yield_pct); final cost = raw cost + (labor_cost_per_min × minutes_per_lb)"
4641,pepper,0.25,cup,10,"PEPPER, JALP MINI PK",shamrock,lb,2.124,,,low,"[matched] finished-form match on ""pepper"" (no raw/whole variant in catalog; operator must decide whether to accept pre-processed cost or switch vendor); variety-discriminator flag on [jalp] (likely a DIFFERENT variety; already at low confidence) | yield_pct: typical 85-92% for beef grind, 70-80% for pork/chicken — fill from BOH measurement | labor_cost_per_min: labor rate × minutes / batch_lb — fill from scheduling | apply: raw cost = unit_price × (1/yield_pct); final cost = raw cost + (labor_cost_per_min × minutes_per_lb)"
